CL(72:13)	LION:0001003
CL(72:2)	LION:0001004
CL(72:3)	LION:0001005
CL(72:4)	LION:0001006
CL(72:5)	LION:0001007
CL(72:6)	LION:0001008
CL(72:7)	LION:0001009
CL(72:8)	LION:0001010
CL(72:9)	LION:0001011
CL(74:0)	LION:0001012
CL(74:1)	LION:0001013
CL(74:10)	LION:0001014
CL(74:11)	LION:0001015
CL(74:12)	LION:0001016
CL(74:13)	LION:0001017
CL(74:14)	LION:0001018
CL(74:15)	LION:0001019
CL(74:2)	LION:0001020
CL(74:3)	LION:0001021
CL(74:4)	LION:0001022
CL(74:5)	LION:0001023
CL(74:6)	LION:0001024
CL(74:7)	LION:0001025
CL(74:8)	LION:0001026
CL(74:9)	LION:0001027
CL(76:0)	LION:0001028
CL(76:1)	LION:0001029
CL(76:10)	LION:0001030
CL(76:11)	LION:0001031
CL(76:12)	LION:0001032
CL(76:13)	LION:0001033
CL(76:14)	LION:0001034
CL(76:15)	LION:0001035
CL(76:16)	LION:0001036
CL(76:2)	LION:0001037
CL(76:3)	LION:0001038
CL(76:4)	LION:0001039
CL(76:5)	LION:0001040
CL(76:6)	LION:0001041
CL(76:7)	LION:0001042
CL(76:8)	LION:0001043
CL(76:9)	LION:0001044
CL(78:0)	LION:0001045
CL(78:1)	LION:0001046
CL(78:10)	LION:0001047
CL(78:11)	LION:0001048
CL(78:12)	LION:0001049
CL(78:13)	LION:0001050
CL(78:14)	LION:0001051
CL(78:15)	LION:0001052
CL(78:16)	LION:0001053
CL(78:17)	LION:0001054
CL(78:2)	LION:0001055
CL(78:3)	LION:0001056
CL(78:4)	LION:0001057
CL(78:5)	LION:0001058
CL(78:6)	LION:0001059
CL(78:7)	LION:0001060
CL(78:8)	LION:0001061
CL(78:9)	LION:0001062
CL(80:0)	LION:0001063
CL(80:1)	LION:0001064
CL(80:10)	LION:0001065
CL(80:11)	LION:0001066
CL(80:12)	LION:0001067
CL(80:13)	LION:0001068
CL(80:14)	LION:0001069
CL(80:15)	LION:0001070
CL(80:16)	LION:0001071
CL(80:17)	LION:0001072
CL(80:18)	LION:0001073
CL(80:19)	LION:0001074
CL(80:2)	LION:0001075
CL(80:3)	LION:0001076
CL(80:4)	LION:0001077
CL(80:5)	LION:0001078
CL(80:6)	LION:0001079
CL(80:7)	LION:0001080
CL(80:8)	LION:0001081
CL(80:9)	LION:0001082
CL(82:0)	LION:0001083
CL(82:1)	LION:0001084
CL(82:10)	LION:0001085
CL(82:11)	LION:0001086
CL(82:12)	LION:0001087
CL(82:13)	LION:0001088
CL(82:14)	LION:0001089
CL(82:15)	LION:0001090
CL(82:16)	LION:0001091
CL(82:17)	LION:0001092
CL(82:18)	LION:0001093
CL(82:19)	LION:0001094
CL(82:2)	LION:0001095
CL(82:3)	LION:0001096
CL(82:4)	LION:0001097
CL(82:5)	LION:0001098
CL(82:6)	LION:0001099
CL(82:7)	LION:0001100
CL(82:8)	LION:0001101
CL(82:9)	LION:0001102
CL(84:0)	LION:0001103
CL(84:1)	LION:0001104
CL(84:10)	LION:0001105
CL(84:11)	LION:0001106
CL(84:12)	LION:0001107
CL(84:13)	LION:0001108
CL(84:14)	LION:0001109
CL(84:15)	LION:0001110
CL(84:16)	LION:0001111
CL(84:17)	LION:0001112
CL(84:18)	LION:0001113
CL(84:19)	LION:0001114
CL(84:2)	LION:0001115
CL(84:20)	LION:0001116
CL(84:21)	LION:0001117
CL(84:3)	LION:0001118
CL(84:4)	LION:0001119
CL(84:5)	LION:0001120
CL(84:6)	LION:0001121
CL(84:7)	LION:0001122
CL(84:8)	LION:0001123
CL(84:9)	LION:0001124
CL(86:1)	LION:0001125
CL(86:10)	LION:0001126
