,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
PC(40:6),0.389060842,0.159219305,0.313789797,0.116627112,0.106440802,0.108103065
PC(40:5),0.08910235,0.11523567,0.102025636,0.813713598,0.684402238,0.719426127
PC(40:4),0.056788803,0.04273756,0.044662744,0.000132899,0.003664678,0.002945947
PC(40:3),0.00682488,0.000951927,0.00931101,0.074385733,0.049292655,0.059709658
PC(40:2),0.056518115,0.056715467,0.053802897,0.037745836,0.038103142,0.037089269
PC(O-42:8),0.120111147,0.122062116,0.107386897,0.062269408,0.061980686,0.058455701
PC(40:1),0.137317415,0.137353912,0.120453164,0.07928671,0.076420623,0.070373074
PC(O-42:7),0.025911529,0.015412153,0.022266728,0.007056721,0.006025813,0.006164931
PC(O-42:7),0.055163813,0.058470835,0.030407452,0.303374983,0.2875086,0.290458316
PC(O-42:6),0.033465454,0.028582473,0.033295128,0.020090211,0.018865468,0.017174122
PC(O-42:6),0.018968064,0.018700211,0.019755459,0.084237306,0.08417073,0.074321894
PC(O-42:5),0.01261669,0.009221145,0.007749043,0.017583963,0.016521901,0.02209065
PC(O-42:4),0.020686034,0.024629338,0.019278579,0.003679017,0.003261047,0.003363217
PC(42:10),0.09476659,0.06877657,0.083974717,0.099104034,0.072518914,0.081082482
PC(42:9),0.061938747,0.054443203,0.051907385,0.076346406,0.063713638,0.067328265
PC(42:8),0.01543998,0.015312104,0.015252706,1.286319709,1.083053662,1.261169034
PC(42:7),0.109720506,0.107356061,0.110820836,0.062622055,0.055955651,0.047044504
PC(42:6),0.037254432,0.043703696,0.035897594,0.026135472,0.029086943,0.034098953
PC(42:5),0.043283362,0.030168547,0.050054006,0.238909752,0.208198385,0.216766626
PC(42:4),0.010939472,0.013749141,0.012660393,0.023431128,0.024026619,0.026016236
PC(42:2),0.047285024,0.046759766,0.045487829,0.006551283,0.006746201,0.007014566
PC(O-44:8),0.004763772,0.006620386,0.00379861,0.014580079,0.016408757,0.01372919
PC(42:1),0.03482567,0.031890443,0.027311867,0.004905444,0.000254849,0.008932994
PC(O-44:7),0.007016996,0.007397957,0.008210676,0.081361853,0.077989837,0.07545126
PC(44:12),0.038661321,0.035239904,0.038572087,0.00724385,0.007522036,0.007394223
PC(44:11),0.059240239,0.044377847,0.046166362,0.005971507,0.005030929,0.005863457
PC(44:10),0.007506048,0.007247507,0.009006138,0.066916765,0.117184368,0.129819589
PC(44:9),0.005727248,0.004336814,0.005811534,0.036681548,0.036762674,0.049149823
PC(44:8),0.006816738,0.006178683,0.006228366,1.095461722,0.91532063,1.006704338
PC(44:7),0.036681539,0.028015213,0.03089467,0.456340687,0.372599072,0.429297198
PC(44:6),0.029540786,0.021656156,0.027781239,0.062063859,0.053416141,0.058371517
PC(44:5),0.038285994,0.030727364,0.032556363,0.090241773,0.074113859,0.093701873
PC(44:4),0.006559484,0.005586142,0.007331504,0.020404718,0.043325667,0.040789316
PC(44:2),0.021271651,0.021403795,0.023415384,0.001584444,0.001690535,0.000854941
