,Nuclei,Nuclei,Nuclei,Mitochondria,Mitochondria,Mitochondria,ER,ER,ER,Plasmalemma,Plasmalemma,Plasmalemma,Dense Microsomes,Dense Microsomes,Dense Microsomes,Cytosol,Cytosol,Cytosol,Whole cell homogenate,Whole cell homogenate,Whole cell homogenate
,#1,#2,#3,#7,#8,#9,#13,#14,#15,#19,#20,#21,#25,#26,#27,#31,#32,#33,#37,#38,#39
PE(16:0/22:6),3.115498072,3.023806382,2.52798275,1.72802313,4.93405645,4.069220076,3.035759147,2.627426536,3.061572241,1.594538018,2.4584926,2.203209948,2.859343185,2.888122718,3.259120255,0.000377657,0.000250251,3.159214755,2.737404066,2.513352048,0.926758693
PE(18:1/20:4),10.281144,12.246416,10.533261,18.144243,18.820628,16.512777,7.451409,10.509706,11.775278,7.757212,7.726691,7.457018,10.337625,11.732999,13.191677,6.866486,8.190024,9.80446,11.581325,9.095941,11.202578
PE(18:0/20:4),20.25074,21.16664,19.66209,33.69645,33.57193,30.07684,12.41901,17.97713,18.60494,12.92869,12.81928,13.72769,17.59596,19.85584,20.17551,13.04632,16.83505,19.06423,18.95126,15.55885,18.33149
PE(18:0/20:3),15.265941,16.630935,14.044349,25.056335,24.415949,22.99994,9.659234,10.786277,11.068761,9.911993,9.658364,9.490751,12.097221,11.732999,12.415696,8.239783,10.01003,11.438536,12.634173,10.532142,13.23941
PE(18:0/20:2),6.075221,6.652374,6.179513,7.689703,8.13865,8.256389,3.863693,3.595426,4.945617,3.663128,3.863346,3.728509,5.058838,5.324976,5.354269,3.707903,3.640011,4.19413,4.527245,3.710186,4.990239
PE(16:0/22:1),4.36E+00,4.08E+00,4.49E+00,5.62E+00,6.10E+00,5.43E+00,3.59E+00,4.70E+00,4.47E+00,3.66E+00,3.51E+00,3.73E+00,4.07E+00,3.61E+00,4.42E+00,2.95E+00,4.10E+00,3.92E+00,3.90E+00,3.59E+00,4.07E+00
PE(18:0/20:0),6.854096,9.978561,8.286166,9.504127,11.190643,10.025615,6.623475,10.233135,9.655728,7.541734,8.429117,7.795974,8.248105,8.93513,8.535791,6.248502,9.100027,8.170383,6.948795,6.941639,7.841804
PE(18:0/22:6),6.39E+00,7.26E+00,6.18E+00,1.21E+01,1.37E+01,1.24E+01,3.59E+00,4.98E+00,4.47E+00,4.09E+00,3.86E+00,3.56E+00,4.95E+00,5.51E+00,5.82E+00,3.78E-04,2.50E-04,3.00E-04,5.69E+00,5.15E+00,6.21E+00
PE(18:0/22:5),6.230996,6.954755,6.319957,11.23215,12.71664,10.025615,3.587715,4.148568,4.2391,3.663128,3.863346,3.050598,4.289015,4.783453,4.345494,4.188557,5.005015,5.065637,5.053669,4.308604,5.397606
PE(18:0/22:4),4.050147493,3.930948297,3.370643667,6.393685582,7.121318588,6.487162439,2.014640161,2.489140929,2.213752236,2.370259216,2.107279371,2.372687636,2.639393709,2.888122718,3.181522154,2.540599902,0.000250251,3.268153195,2.737404066,2.513352048,3.360773283
PS(16:0/18:2),4.36E-01,4.84E-01,8.99E-01,6.65E-01,6.61E-01,6.49E-01,1.52E-05,8.30E-01,8.71E-01,7.54E-01,8.78E-01,1.03E+00,7.15E-01,7.40E-01,7.22E-01,3.78E-04,2.50E-04,3.00E-04,5.79E-05,3.23E-01,4.38E-01
PS(16:0/18:1),2.803948,3.174997,3.791974,2.160029,2.695928,2.712813,9.383256,5.531424,5.181122,5.602431,6.497445,8.134929,5.828661,3.971169,5.199073,3.845232,3.50351,4.793291,3.158543,2.393669,2.851565
PS(16:0/18:0),4.36E-01,4.99E-01,6.18E-01,3.11E-01,3.92E-01,4.13E-01,5.80E-01,3.32E-01,4.24E-01,6.68E-01,7.20E-01,7.80E-01,2.09E-01,3.52E-01,1.32E-01,3.78E-04,2.50E-04,3.00E-04,5.79E-05,3.71E-01,3.87E-01
PS(16:0/20:4),5.30E-01,6.20E-01,8.29E-01,4.84E-01,6.10E-01,5.72E-01,9.38E-01,5.81E-01,4.71E-01,5.82E-01,8.60E-01,8.98E-01,7.48E-01,5.51E-01,8.54E-01,3.78E-04,2.50E-04,3.00E-04,6.95E-01,3.59E-01,4.07E-01
PS(18:0/18:2),2.803948,3.023806,3.651531,2.160029,2.645061,2.476917,7.451409,4.978282,4.474606,4.955997,6.146231,7.118063,4.838888,3.700407,4.811082,3.639238,3.27601,4.248599,3.263828,2.154302,2.647882
PS(18:0/18:1),13.240867,15.119032,15.448783,10.368139,14.242637,11.794841,41.396716,22.67884,20.488983,25.857373,33.365257,33.895538,24.194442,17.148229,18.623544,21.286107,18.200054,19.064227,13.68702,11.010876,13.23941
PS(18:0/18:0),9.81E+00,1.22E+01,1.54E+01,7.69E+00,9.66E+00,1.06E+01,1.52E-05,1.71E+00,4.95E-01,8.19E+00,9.48E+00,8.13E+00,1.32E+01,1.08E+01,1.01E+01,3.50E+01,3.23E+01,3.54E+01,2.95E+00,2.27E+00,1.93E+00
PS(18:1/20:4),1.01E+00,1.21E+00,1.54E+00,7.86E-01,1.02E+00,8.85E-01,1.24E+00,9.96E-01,8.48E-01,1.08E+00,1.28E+00,1.36E+00,1.21E+00,9.03E-01,1.09E+00,3.78E-04,2.50E-04,3.00E-04,4.63E-01,9.34E-01,4.99E-01
PS(18:0/20:4),3.115498,3.477377,3.932418,2.24643,2.950261,3.243581,6.623475,3.871997,3.532583,4.740518,5.970625,5.931719,3.629166,3.06863,3.879905,3.158584,3.36701,3.431561,3.263828,2.154302,2.953407
PS(18:0/20:3),1.8692988,2.1166645,2.2470958,1.3824185,1.8820628,1.8282003,4.4156497,2.7103979,2.8260667,4.0940841,4.0389521,4.5758976,2.3094695,1.8953305,2.327943,2.4032702,1.8200054,2.1242996,1.6845563,1.5558846,1.9349907
PS(18:0/20:2),0.996959383,1.224641585,0.997148752,0.673929021,1.068197788,0.825638856,1.93184673,1.493484558,1.295280564,1.982398617,2.282885986,2.03373226,1.319696854,0.992792184,0.931177216,0.000377657,0.000250251,1.416199718,0.937034469,0.754005614,0.987863662
PS(16:0/22:1),0.685409576,0.771070628,0.842660917,0.65664879,0.864731543,0.707690448,2.014640161,1.050970615,0.777168338,1.379059907,1.738505481,1.626985808,1.066754957,0.649827612,0.853579115,0.000377657,0.000250251,0.000299581,0.642237108,0.598417154,0.651786334
PS(18:0/22:6),2.648173,2.419045,3.089757,1.728023,2.339862,2.24102,5.243584,3.595426,3.532583,4.740518,5.092592,6.270674,3.299242,2.707615,3.802307,3.227249,2.275007,3.322622,2.316265,2.034618,2.851565
PS(18:0/22:5),1.8692988,2.1166645,2.1066523,1.3824185,1.9837959,1.5923035,4.4156497,2.6827408,2.8260667,4.3095622,4.0389521,4.4064199,2.6393937,2.0758382,2.5607373,1.991281,1.8200054,1.8519535,1.7898411,1.4362012,2.0368323
PS(18:0/22:4),0.88791695,0.861784819,1.025237449,0.708489483,0.864731543,0.825638856,2.180227024,1.493484558,1.365932231,1.723824884,1.931672757,2.03373226,1.319696854,0.992792184,1.086373418,1.098637796,0.000250251,1.198322838,0.810692743,0.718100585,0.875837886
PS(18:2/22:1),0.716564557,0.771070628,0.772439174,0.492486592,0.712131859,0.707690448,1.545477384,1.106284857,0.777168338,1.44370334,1.510216883,1.237187125,0.879797903,0.758132214,0.853579115,0.000377657,0.000250251,0.653630639,0.673822539,0.514638753,0.600865526
PS(18:2/22:0),4.05E-01,3.63E-01,3.79E-01,2.68E-01,3.97E-01,3.36E-01,1.10E+00,4.98E-01,5.18E-01,8.19E-01,7.38E-01,7.46E-01,5.72E-01,3.43E-01,4.27E-05,3.78E-04,2.50E-04,3.00E-04,2.53E-01,2.99E-01,3.06E-01
PS(18:0/22:1),4.21E-01,3.02E-01,7.72E-05,3.46E-01,3.81E-01,3.83E-01,8.83E-01,3.87E-01,4.00E-01,6.25E-01,6.67E-01,6.27E-01,5.50E-01,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,2.95E-01,2.51E-01,3.56E-01
PS(18:0/22:0),0.576367143,0.831546755,0.81457222,0.492486592,0.661265297,0.471793632,0.745140882,0.608456672,0.518112226,0.581790898,0.948275717,0.542328603,0.461893899,0.785208364,0.706142722,0.000377657,0.000250251,0.000299581,0.526423859,0.418892008,0.48883975
PS(20:4/22:0),9.03E-01,7.56E-01,1.54E+00,7.34E-01,9.16E-01,9.44E-01,1.52E-05,4.43E-01,3.06E-01,4.53E-01,5.44E-01,3.73E-01,8.03E-01,8.39E-01,8.54E-01,2.88E+00,2.78E+00,2.94E+00,5.79E-05,3.35E-01,4.28E-01
PS(20:3/22:0),5.14E-01,7.41E-01,7.86E-01,4.58E-01,6.10E-01,5.84E-01,1.52E-05,4.70E-01,3.53E-01,4.53E-01,4.74E-01,5.42E-01,1.00E+00,8.48E-01,8.54E-01,3.23E+00,3.32E+00,2.51E+00,5.79E-05,3.23E-01,4.38E-01
PS(18:2/24:0),2.96E-01,4.23E-01,4.49E-01,3.97E-01,5.60E-01,2.95E-01,1.52E-05,2.21E-01,1.08E-01,2.00E-01,4.21E-01,2.03E-01,1.02E-01,1.81E-01,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,2.99E-01,1.32E-01
