,FFA_AA,FFA_AA,FFA_AA,FFA_BSA,FFA_BSA,FFA_BSA,FFA_LA,FFA_LA,FFA_LA,FFA_PA,FFA_PA,FFA_PA
,#10,#11,#12,#1,#2,#3,#7,#8,#9,#4,#5,#6
PS(16:0/16:1),0.173547138,0.164371882,0.203405614,0.127701312,0.130458759,0.142123933,0.086237153,0.112383164,0.113046393,0.40529441,0.4461211,0.42678824
PS(16:0/16:0),0.735061063,0.629188589,0.76028206,0.188308499,0.207040015,0.195023416,0.638325966,0.633699816,0.775774244,0.001034582,0.007792022,0.000562884
PS(O-16:1/18:1),0.009811331,0.009352618,0.010769598,0.018660531,0.018617127,0.013272331,0.03022443,0.016818662,0.02820908,0.012139688,0.00952493,0.01078293
PS(O-16:0/18:1),0.057263786,0.061485421,0.052855076,0.067988433,0.076629074,0.069083049,0.077432294,0.089501972,0.071136212,0.050549921,0.044541443,0.038211892
PS(16:3/18:0),0.038350594,0.030887922,0.048478993,0.006577601,0.006582441,0.005866037,0.008387238,0.009841929,0.007965271,0.005186442,0.005608658,0.005918102
PS(16:0/18:2),0.118166464,0.076080522,0.139825745,0.199701613,0.182122345,0.203084906,0.847673613,0.877235955,0.74086189,0.167623666,0.163283471,0.179174726
PS(16:0/18:1),2.01817576,2.412853073,2.084643348,2.411862105,2.433170044,2.489823248,1.717782845,1.591455807,1.82039547,3.11092527,2.851107857,3.228973004
PS(16:0/18:0),0.489035008,0.532282675,0.655652709,0.100212288,0.01924423,0.109634776,0.823541275,0.783349042,0.828955068,0.066690622,0.063590591,0.053792018
PS(16:0/18:0),0.616556688,0.498849474,0.807410501,0.272759314,0.26393027,0.261226102,1.124806786,1.025010815,1.017001594,0.258638544,0.26963886,0.275982593
PS(O-16:2/20:1),0.003730042,0.00450835,0.004251085,0.009634695,0.008981088,0.006622093,0.016675914,0.010414684,0.016669445,0.003569785,0.003358831,0.004229356
PS(O-18:1/18:1),0.014230725,0.033215548,0.035920105,0.029004624,0.047371438,0.024248661,0.063778364,0.073957512,0.048321809,0.031846708,0.028778949,0.031234542
PS(O-16:1/20:0),0.08238023,0.093888266,0.06994215,0.072491824,0.092651018,0.110194674,0.119163224,0.104383103,0.121586356,0.077877006,0.077534564,0.081882444
PS(16:0/20:5),0.001915255,0.003159506,0.003813176,0.005095493,0.004125345,0.003365724,0.000569188,0.003259192,0.00064823,0.034452964,0.025903036,0.027142147
PS(16:0/20:4),0.390305159,0.413848602,0.440266681,0.081469433,0.117240196,0.110674517,0.110313509,0.112960388,0.108752406,0.349148642,0.332805191,0.372229426
PS(18:1/18:2),0.104759311,0.090719056,0.159533064,0.208432446,0.198343535,0.19629232,0.564729804,0.54190025,0.503727799,0.269469989,0.242833405,0.256545896
