,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42
Hexosylceramide C16 ,6.61E-01,2.64E-01,1.53E-01,3.78E-01,4.33E-01,1.78E-01,4.61E-01,2.50E-01,1.20E-01,4.45E-01,3.47E-01,3.52E-01,9.29E-01,3.85E-01,2.33E-01,6.34E-01,5.71E-01,3.10E-01,6.88E-01,5.96E-01,2.71E-01,4.61E-01,6.55E-01,1.06E-05,3.62E-01,2.88E-01,1.16E-01,3.04E-01,2.33E-01,1.71E-01,6.15E-01,2.45E-01,2.82E-01,3.86E-01,2.75E-01,2.44E-01,7.62E-01,5.98E-01,2.79E-01,9.52E-01,7.44E-01,3.49E-01
Hexosylceramide C18,3.75E-02,2.49E-02,3.35E-03,3.50E-02,1.49E-02,1.36E-02,2.60E-02,2.41E-02,3.07E-03,3.88E-02,1.49E-02,2.17E-02,4.10E-02,2.03E-02,9.57E-03,4.96E-02,2.77E-02,1.60E-02,3.65E-02,2.45E-02,1.24E-02,3.27E-02,2.07E-02,1.06E-05,1.75E-02,1.53E-02,3.49E-03,2.35E-02,9.84E-03,2.51E-03,6.22E-02,9.53E-03,4.07E-03,2.77E-02,4.12E-02,2.59E-02,4.43E-02,3.87E-02,1.60E-02,6.21E-02,2.45E-02,2.09E-02
Hexosylceramide C20,3.00E-02,1.42E-02,6.97E-03,2.80E-02,1.19E-02,6.37E-03,2.23E-02,1.42E-02,1.97E-03,2.51E-02,1.42E-02,1.29E-02,4.10E-02,2.06E-02,8.17E-03,3.86E-02,1.66E-02,1.14E-02,3.01E-02,2.63E-02,9.14E-03,3.07E-02,1.72E-02,1.06E-05,2.74E-02,1.62E-02,3.18E-03,2.25E-02,2.06E-02,5.56E-03,3.83E-02,2.86E-02,1.30E-02,2.50E-02,2.44E-04,1.97E-04,3.50E-02,2.23E-02,7.48E-03,6.53E-02,2.27E-02,1.48E-02
Hexosylceramide C22,4.81E-01,9.24E-02,1.95E-02,2.52E-01,1.25E-01,3.06E-02,3.42E-01,8.02E-02,1.86E-02,3.50E-01,1.32E-01,6.46E-02,7.10E-01,1.18E-01,6.30E-02,4.68E-01,1.80E-01,5.95E-02,4.51E-01,2.10E-01,7.11E-02,3.07E-01,1.69E-01,1.06E-05,2.41E-01,6.75E-02,1.39E-02,1.86E-01,5.82E-02,1.88E-02,3.28E-01,5.90E-02,2.17E-02,1.63E-01,5.76E-02,3.09E-02,6.07E-01,2.23E-01,4.09E-02,6.85E-01,2.27E-01,1.05E-01
Hexosylceramide C24:1,5.11E-01,7.04E-02,1.06E-02,1.96E-01,1.08E-01,1.44E-02,3.57E-01,8.96E-02,9.86E-03,2.60E-01,8.67E-02,2.82E-02,6.28E-01,9.62E-02,4.43E-02,3.31E-01,1.14E-01,2.46E-02,3.87E-01,1.42E-01,4.57E-02,1.92E-01,1.22E-01,1.06E-05,2.41E-01,3.78E-02,1.47E-02,1.37E-01,3.94E-02,8.44E-03,2.73E-01,2.00E-02,2.17E-02,9.78E-02,5.76E-02,1.29E-02,5.25E-01,1.41E-01,2.19E-02,4.28E-01,1.54E-01,6.81E-02
Hexosylceramide C24,1.07E+00,1.01E-01,7.25E-03,6.72E-01,2.71E-01,3.40E-02,7.44E-01,1.09E-01,2.14E-02,6.15E-01,1.39E-01,5.64E-02,1.42E+00,1.65E-01,6.77E-02,7.99E-01,2.63E-01,5.69E-02,8.81E-01,2.10E-01,7.78E-02,5.38E-01,2.76E-01,1.06E-05,5.26E-01,7.92E-02,2.01E-02,3.33E-01,9.84E-02,2.06E-02,5.60E-01,4.36E-02,2.17E-02,2.55E-01,6.20E-02,6.10E-03,1.24E+00,2.46E-01,3.49E-02,1.18E+00,3.72E-01,1.31E-01
Hexosylceramide C26:1,1.04E-02,3.37E-03,9.76E-04,3.36E-03,5.42E-03,7.73E-04,8.19E-03,1.27E-03,3.45E-04,3.17E-03,5.20E-03,2.11E-04,1.12E-02,4.95E-03,2.29E-04,6.06E-03,1.60E-03,1.42E-05,5.16E-03,1.03E-03,9.48E-04,3.07E-03,1.55E-03,1.06E-05,3.51E-03,1.53E-03,4.26E-05,7.44E-03,4.92E-05,1.08E-03,1.98E-03,2.50E-04,2.99E-04,2.99E-04,6.20E-03,1.97E-04,1.01E-02,3.28E-03,4.49E-04,1.18E-02,1.09E-03,1.05E-03
Hexosylceramide C26,8.86E-03,3.23E-03,4.60E-04,1.26E-02,3.93E-03,7.56E-04,5.73E-03,6.13E-04,3.01E-05,8.04E-03,1.84E-03,1.17E-03,9.83E-03,2.03E-03,7.00E-04,7.99E-03,1.29E-03,2.85E-04,7.74E-03,9.64E-06,1.52E-04,6.72E-03,2.07E-03,1.06E-05,6.25E-03,1.44E-03,3.49E-04,6.27E-03,1.79E-03,4.94E-05,4.24E-03,3.90E-03,9.24E-04,8.15E-03,4.25E-03,1.97E-04,9.78E-03,3.05E-03,3.09E-04,1.28E-02,3.27E-03,4.36E-04
DHHexosylceramide C16 ,1.14E-02,5.57E-03,2.51E-03,4.90E-03,5.82E-03,5.77E-03,7.44E-03,5.19E-03,5.15E-03,5.20E-03,4.51E-03,7.63E-03,1.17E-02,6.60E-03,5.83E-03,9.92E-03,9.71E-03,6.98E-03,9.67E-03,1.05E-02,5.42E-03,4.80E-03,8.96E-03,1.06E-05,5.26E-03,3.60E-03,2.32E-03,4.70E-03,6.08E-03,5.29E-03,1.43E-02,5.45E-03,5.38E-03,2.17E-03,3.85E-03,7.18E-03,1.24E-02,1.03E-02,1.10E-02,1.18E-02,1.45E-02,7.68E-03
DHHexosylceramide C18,8.41E-04,6.45E-04,1.09E-03,7.70E-05,4.06E-04,4.67E-05,3.94E-04,6.60E-04,4.33E-04,3.78E-04,1.21E-04,1.35E-03,1.17E-03,3.85E-04,7.70E-04,6.89E-04,1.57E-05,1.32E-04,6.45E-04,4.03E-04,4.23E-04,6.34E-04,4.13E-04,1.06E-05,6.03E-05,5.76E-04,1.55E-03,4.80E-04,4.92E-05,6.37E-04,4.37E-03,2.50E-04,2.99E-04,2.17E-03,2.44E-04,1.97E-04,7.93E-04,6.44E-05,1.99E-03,5.99E-04,6.90E-04,9.60E-04
DHHexosylceramide C20,1.23E-03,3.37E-04,1.09E-03,1.54E-03,7.45E-05,4.67E-05,3.42E-04,1.75E-04,3.01E-05,3.78E-04,2.77E-04,5.17E-04,6.56E-04,1.51E-05,1.26E-04,6.61E-04,1.11E-04,1.32E-04,3.22E-04,3.16E-04,4.23E-04,6.91E-05,5.34E-04,1.06E-05,8.12E-04,4.95E-05,4.26E-05,8.52E-04,4.92E-05,6.37E-04,4.17E-03,4.13E-03,1.09E-03,2.12E-03,1.73E-03,1.97E-04,3.81E-04,4.33E-04,1.79E-04,8.88E-04,4.27E-04,5.41E-04
DHHexosylceramide C22,1.49E-03,8.07E-05,4.74E-04,1.54E-03,2.57E-03,8.49E-04,7.37E-04,9.91E-04,3.01E-05,6.15E-04,4.86E-04,1.35E-03,2.02E-03,3.85E-04,1.42E-03,1.54E-03,8.00E-04,1.78E-03,2.15E-03,1.40E-03,2.37E-03,4.03E-04,1.72E-03,1.06E-05,8.44E-04,5.13E-04,4.26E-05,3.82E-04,5.01E-04,6.37E-04,3.76E-04,3.59E-03,2.99E-04,2.99E-04,1.86E-03,1.97E-04,2.78E-03,1.15E-03,8.97E-04,1.93E-03,1.82E-03,2.44E-03
DHHexosylceramide C24:1,2.25E-03,8.65E-04,7.67E-05,1.68E-03,7.45E-05,9.34E-04,2.83E-03,3.11E-04,8.21E-04,6.15E-04,9.02E-04,1.35E-03,3.82E-03,1.10E-03,2.24E-03,1.54E-03,2.31E-04,1.09E-03,2.36E-03,1.02E-03,1.69E-03,6.91E-04,9.13E-04,1.06E-05,1.75E-03,4.95E-05,3.95E-04,1.76E-03,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,1.96E-03,2.44E-04,8.62E-03,2.78E-03,1.29E-03,5.28E-04,1.18E-03,2.09E-03,1.13E-03
DHHexosylceramide C24,2.10E-03,3.37E-04,7.67E-05,6.30E-04,1.30E-03,4.67E-05,7.37E-04,5.19E-04,1.26E-03,1.23E-03,5.20E-04,1.06E-03,4.92E-03,8.25E-04,1.47E-03,1.74E-03,1.14E-03,1.35E-03,1.14E-03,5.96E-04,1.69E-03,1.13E-03,1.43E-03,1.06E-05,3.29E-03,5.13E-04,3.95E-04,1.08E-03,5.01E-04,1.26E-03,1.50E-03,2.50E-04,2.99E-04,2.99E-04,9.75E-04,1.97E-04,4.43E-03,3.51E-04,3.59E-04,4.17E-03,2.90E-03,3.67E-03
DHHexosylceramide C26:1,3.45E-04,2.93E-04,7.67E-05,7.84E-04,7.45E-05,4.67E-05,4.09E-05,1.79E-04,3.01E-05,2.60E-05,1.91E-05,3.23E-05,1.39E-04,2.39E-04,1.28E-04,3.03E-04,1.57E-05,1.42E-05,1.18E-05,1.07E-04,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,5.76E-04,4.26E-05,5.39E-05,4.92E-05,4.94E-05,1.50E-03,2.50E-04,2.99E-04,1.47E-03,2.44E-04,1.97E-04,1.44E-04,1.52E-04,5.48E-05,5.88E-05,9.99E-05,4.80E-05
DHHexosylceramide C26,1.95E-04,8.07E-05,7.67E-05,7.70E-05,4.06E-04,4.67E-05,4.09E-05,2.59E-05,3.01E-05,3.88E-04,1.91E-05,3.23E-05,1.50E-05,2.45E-04,1.28E-05,1.52E-05,1.57E-05,1.42E-05,2.11E-04,1.02E-04,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,5.13E-04,4.26E-05,5.39E-05,5.64E-04,4.94E-05,3.76E-04,1.32E-03,2.99E-04,2.88E-03,9.75E-04,8.62E-03,5.66E-05,1.29E-04,7.18E-04,2.89E-04,4.99E-05,4.80E-05
Sphingomyelin C16 ,3.45E+01,1.19E+01,7.25E+00,1.54E+01,1.33E+01,8.49E+00,1.64E+01,8.96E+00,7.12E+00,1.42E+01,7.63E+00,9.40E+00,4.37E+01,2.36E+01,1.91E+01,3.58E+01,2.09E+01,1.11E+01,4.94E+01,3.16E+01,2.37E+01,3.84E+01,2.93E+01,1.06E-05,1.86E+01,9.91E+00,6.12E+00,1.57E+01,8.50E+00,4.85E+00,3.42E+01,9.53E+00,7.06E+00,1.63E+01,1.15E+01,8.62E+00,5.87E+01,3.87E+01,2.39E+01,5.35E+01,3.72E+01,1.83E+01
Sphingomyelin C18,1.50E+00,5.28E-01,4.04E-01,8.12E-01,3.52E-01,1.78E-01,6.99E-01,3.44E-01,2.52E-01,5.68E-01,2.32E-01,2.23E-01,1.78E+00,8.25E-01,5.83E-01,1.24E+00,5.14E-01,3.10E-01,2.00E+00,1.02E+00,9.98E-01,1.34E+00,6.89E-01,1.06E-05,8.44E-01,4.14E-01,1.47E-01,6.95E-01,2.68E-01,2.24E-01,1.64E+00,4.54E-01,4.07E-01,8.69E-01,3.50E-01,3.95E-01,2.47E+00,1.41E+00,5.38E-01,1.93E+00,1.09E+00,6.55E-01
Sphingomyelin C20,5.41E-01,1.42E-01,2.23E-01,2.94E-01,9.75E-02,8.24E-02,2.68E-01,1.09E-01,3.39E-02,1.80E-01,3.81E-02,8.22E-02,6.56E-01,3.02E-01,1.70E-01,4.13E-01,1.43E-01,8.02E-02,7.31E-01,2.45E-01,1.69E-01,4.80E-01,1.64E-01,1.06E-05,3.18E-01,1.26E-01,5.81E-02,1.96E-01,4.65E-02,9.87E-02,5.47E-01,1.23E-01,1.68E-01,2.50E-01,1.28E-01,1.18E+00,9.68E-01,3.40E-01,1.79E-01,6.63E-01,2.90E-01,9.60E-02
Sphingomyelin C22,4.66E+00,7.63E-01,2.65E-01,1.82E+00,7.58E-01,3.23E-01,2.31E+00,5.66E-01,1.10E-01,1.70E+00,4.51E-01,1.88E-01,5.46E+00,1.48E+00,9.80E-01,3.58E+00,1.06E+00,3.36E-01,6.23E+00,1.51E+00,1.02E+00,4.03E+00,1.22E+00,1.06E-05,2.74E+00,7.29E-01,4.34E-01,1.66E+00,5.19E-01,9.87E-02,4.78E+00,6.36E-01,5.43E-01,1.79E+00,7.09E-01,1.97E-04,8.44E+00,2.34E+00,8.47E-01,5.67E+00,1.91E+00,8.73E-01
Sphingomyelin C24:1,1.80E+01,2.64E+00,3.62E-01,5.74E+00,2.17E+00,6.62E-01,8.93E+00,2.22E+00,7.67E-01,5.68E+00,1.42E+00,8.22E-01,2.24E+01,6.32E+00,3.97E+00,1.27E+01,3.43E+00,1.01E+00,2.58E+01,6.66E+00,3.89E+00,1.46E+01,4.48E+00,1.06E-05,1.10E+01,2.43E+00,1.24E+00,6.27E+00,1.61E+00,6.28E-01,1.98E+01,2.63E+00,1.47E+00,5.98E+00,2.44E+00,1.97E-04,3.29E+01,9.72E+00,2.19E+00,1.93E+01,6.72E+00,2.71E+00
Sphingomyelin C24,1.32E+01,1.76E+00,3.07E-01,5.46E+00,2.17E+00,2.38E-01,6.47E+00,1.18E+00,2.63E-01,4.73E+00,1.18E+00,5.40E-01,1.56E+01,3.30E+00,2.10E+00,1.05E+01,2.34E+00,6.73E-01,1.78E+01,3.51E+00,2.37E+00,1.21E+01,3.10E+00,1.06E-05,8.44E+00,1.44E+00,5.89E-01,5.09E+00,1.25E+00,5.74E-01,1.37E+01,1.72E+00,9.78E-01,5.11E+00,1.51E+00,1.97E-04,2.47E+01,5.04E+00,9.97E-01,1.71E+01,4.90E+00,2.01E+00
Sphingomyelin C26:1,2.10E-01,1.61E-02,2.09E-02,7.28E-02,3.52E-02,1.36E-02,1.04E-01,1.65E-02,3.01E-05,6.15E-02,1.84E-02,3.23E-05,2.59E-01,5.22E-02,3.03E-02,1.54E-01,3.43E-02,7.76E-03,3.01E-01,8.07E-02,6.43E-02,1.81E-01,5.17E-02,1.06E-05,1.21E-01,3.33E-02,4.26E-05,7.35E-02,1.52E-02,4.94E-05,2.12E-01,2.13E-02,2.99E-04,7.06E-02,8.86E-02,1.97E-04,3.91E-01,8.20E-02,5.78E-03,2.25E-01,5.90E-02,2.01E-02
Sphingomyelin C26,8.26E-02,3.96E-02,1.67E-02,7.28E-02,5.42E-02,1.27E-02,3.79E-02,3.73E-02,3.01E-05,4.02E-02,1.21E-02,1.12E-02,1.01E-01,4.12E-02,1.47E-02,5.51E-02,2.60E-02,1.29E-02,1.18E-01,3.33E-02,2.37E-02,8.07E-02,2.07E-02,1.06E-05,6.25E-02,8.55E-02,3.72E-02,3.53E-02,6.89E-02,4.94E-05,1.09E-01,1.04E-01,6.52E-02,4.62E-02,1.28E-02,1.97E-04,1.65E-01,2.11E-02,5.48E-05,9.63E-02,3.45E-02,1.92E-02
DHSphingomyelin C16 ,3.00E+00,2.35E+00,1.95E+00,3.50E+00,2.30E+00,1.70E+00,2.01E+00,1.18E+00,1.92E+00,1.32E+00,1.14E+00,2.47E+00,3.55E+00,2.56E+00,4.20E+00,2.31E+00,1.97E+00,2.59E+00,4.51E+00,2.81E+00,5.58E+00,1.84E+00,2.58E+00,1.06E-05,2.52E+00,2.43E+00,2.09E+00,2.06E+00,2.15E+00,3.86E+00,7.52E+00,4.22E+00,5.98E+00,6.52E+00,3.68E+00,5.75E+00,4.63E+00,2.93E+00,5.48E+00,3.74E+00,3.00E+00,3.75E+00
DHSphingomyelin C18,1.04E-01,7.33E-02,5.71E-02,2.10E-01,7.45E-05,8.07E-02,1.19E-01,3.92E-02,9.31E-02,1.23E-02,2.46E-02,2.17E-01,2.19E-01,7.42E-02,1.94E-01,1.10E-01,4.28E-02,1.66E-01,2.11E-01,6.14E-02,3.38E-01,6.53E-02,9.47E-02,1.06E-05,5.15E-02,1.08E-01,6.43E-02,5.97E-02,3.67E-02,4.94E-05,2.39E-01,2.18E-01,2.01E-01,2.99E-04,2.44E-04,1.97E-04,2.47E-01,1.87E-01,2.09E-01,1.28E-01,9.99E-02,1.40E-01
DHSphingomyelin C20,1.35E-01,1.76E-02,7.67E-05,3.78E-02,4.06E-02,1.27E-01,9.67E-02,6.60E-02,2.03E-02,8.99E-02,1.18E-02,1.06E-01,1.07E-01,8.80E-02,8.87E-02,7.72E-02,1.06E-01,6.47E-02,1.55E-01,1.30E-01,1.69E-01,6.15E-02,7.24E-02,1.06E-05,6.03E-02,2.43E-02,1.86E-01,5.39E-05,5.46E-02,4.94E-05,6.76E-02,4.99E-02,2.99E-04,3.86E-01,7.09E-02,1.97E-04,2.06E-01,1.64E-01,9.37E-02,1.18E-01,9.99E-02,1.13E-01
DHSphingomyelin C22,8.41E-02,6.01E-02,7.67E-05,2.38E-01,2.30E-02,2.80E-01,4.17E-02,2.59E-05,5.04E-02,9.93E-02,4.51E-02,9.98E-02,1.01E-01,1.46E-01,1.91E-01,4.41E-02,6.86E-02,5.17E-02,1.53E-01,1.40E-01,2.88E-01,3.07E-02,5.51E-02,1.06E-05,1.75E-02,4.95E-05,4.10E-02,5.39E-05,1.79E-02,4.94E-05,2.46E-01,1.54E-01,3.53E-02,2.99E-04,9.30E-02,5.03E-01,1.24E-01,1.29E-01,2.19E-01,8.35E-02,1.18E-01,1.48E-01
DHSphingomyelin C24:1,8.71E-01,2.20E-01,2.79E-01,5.88E-01,3.79E-01,2.12E-01,4.61E-01,1.75E-01,4.82E-01,2.79E-01,3.47E-01,6.46E-01,1.61E+00,6.60E-01,1.89E+00,6.34E-01,5.14E-01,4.91E-01,1.57E+00,6.66E-01,2.37E+00,3.65E-01,5.86E-01,1.06E-05,5.70E-01,3.15E-01,6.35E-01,3.53E-01,2.15E-01,4.94E-05,1.16E+00,1.18E-01,1.25E+00,7.06E-01,4.87E-01,1.97E-04,1.96E+00,9.26E-01,7.38E-01,1.18E+00,1.09E+00,1.92E+00
DHSphingomyelin C24,1.22E-01,1.76E-02,5.71E-02,7.70E-05,7.18E-02,4.67E-05,3.87E-02,4.58E-02,4.71E-02,3.12E-02,5.55E-03,2.64E-02,2.24E-01,5.22E-02,1.56E-01,8.27E-02,4.00E-02,7.24E-02,1.63E-01,3.86E-02,3.72E-01,4.42E-02,9.13E-02,1.06E-05,6.36E-02,2.43E-02,2.01E-01,5.39E-05,2.59E-02,4.94E-05,4.17E-01,2.50E-04,2.01E-01,2.99E-04,2.44E-04,1.97E-04,1.75E-01,8.32E-02,1.79E-01,1.18E-01,9.99E-02,2.71E-01
DHSphingomyelin C26:1,1.80E-02,8.07E-05,2.79E-02,1.15E-01,5.69E-02,4.67E-05,8.19E-03,2.59E-05,1.26E-02,2.60E-05,1.91E-05,5.40E-02,7.38E-03,1.51E-05,4.43E-03,1.52E-05,1.57E-05,9.31E-03,2.06E-02,1.28E-02,2.54E-02,1.06E-05,9.47E-06,1.06E-05,8.99E-02,4.95E-05,4.26E-05,5.39E-05,8.23E-03,4.94E-05,3.76E-04,9.53E-02,1.09E-01,2.77E-01,2.44E-04,1.97E-04,4.22E-02,6.56E-03,6.78E-02,5.88E-05,3.18E-03,2.01E-02
DHSphingomyelin C26,1.16E-02,1.35E-02,2.79E-02,7.70E-05,4.60E-02,1.19E-02,5.51E-03,1.93E-02,1.10E-01,2.60E-05,1.91E-05,3.76E-02,1.45E-02,1.51E-05,2.03E-02,1.52E-05,6.28E-03,1.42E-05,1.10E-02,6.84E-03,3.22E-02,1.48E-02,1.21E-02,1.06E-05,1.65E-02,4.95E-05,4.26E-05,5.39E-05,1.61E-02,4.94E-05,3.76E-04,2.50E-04,1.63E-01,2.99E-04,1.42E-01,5.39E-01,3.09E-02,6.56E-03,5.48E-05,5.88E-05,6.99E-03,2.01E-02
Cholesterol,240.27185,175.968,153.31641,117.54503,203.12488,212.31532,133.94088,103.7889,120.45365,85.12743,90.17031,229.02291,300.47035,258.47486,280.06095,228.72485,282.79312,258.6626,343.91086,315.59903,338.46249,307.3053,396.2186,365.39515,153.5431,117.05984,108.42763,117.52635,116.31196,125.63761,116.14887,43.12383,70.62184,59.77028,57.58418,26.57106,319.17498,445.20592,438.66585,417.29015,462.95705,427.67261
Desmosterol,1.28E+00,1.25E+00,1.09E+00,1.40E+00,3.25E+00,1.61E+00,8.19E-01,8.02E-01,7.67E-01,9.93E-01,1.49E+00,1.35E+00,1.80E+00,2.09E+00,2.08E+00,2.76E+00,5.43E+00,2.07E+00,1.85E+00,2.28E+00,2.03E+00,3.27E+00,6.72E+00,2.31E+00,8.12E-01,8.82E-01,6.66E-01,1.66E+00,2.15E+00,4.94E-05,4.24E-01,3.09E-01,4.62E-01,6.52E-01,9.30E-01,1.97E-04,1.54E+00,2.69E+00,2.69E+00,4.07E+00,7.44E+00,2.79E+00
Lanosterol,6.31E-02,6.16E-02,5.30E-02,3.08E+00,2.98E+00,2.38E+00,1.12E-01,5.19E-02,6.02E-02,1.99E+00,1.35E+00,2.76E+00,1.17E-01,4.40E-02,8.40E-02,1.79E+00,1.77E+00,2.22E+00,9.03E-02,5.61E-02,5.42E-02,1.34E+00,1.17E+00,1.50E+00,6.03E-05,4.95E-05,4.26E-05,2.45E+00,1.97E+00,1.08E+01,3.76E-04,2.50E-04,2.99E-04,9.24E-01,7.09E-01,1.97E-04,1.44E-01,1.29E-01,1.20E-01,4.60E+00,3.81E+00,4.80E+00
7-dehydro-cholesterol,6.61E-01,8.07E-05,3.48E-01,7.70E-05,7.45E-05,4.67E-05,4.09E-05,4.53E-01,1.81E-01,2.60E-05,1.91E-05,3.23E-05,4.37E-01,5.50E-01,6.07E-01,1.90E-01,1.94E-01,2.07E-01,4.73E-01,5.61E-01,3.89E-01,1.69E-01,2.24E-01,2.69E-01,6.03E-05,4.77E-01,2.71E-01,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,4.63E-01,1.05E+00,5.48E-05,5.88E-05,4.99E-05,4.80E-05
22R-hydroxy-cholesterol,8.86E-02,8.07E-05,7.67E-05,1.19E-01,7.45E-05,8.49E-02,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.70E-01,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.27E-01,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,5.65E-01,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.39E+00,2.44E-04,3.59E+00,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
24-25-epoxy-cholesterol,1.25E-01,1.23E-01,1.06E-01,5.18E-02,1.76E-01,1.02E-01,1.04E-01,9.91E-02,1.04E-01,8.04E-02,1.11E-01,1.12E-01,7.92E-02,8.52E-02,9.57E-02,7.16E-02,1.37E-01,8.02E-02,6.66E-02,9.64E-02,8.29E-02,5.57E-02,1.22E-01,7.50E-02,3.95E-02,4.86E-02,5.34E-02,5.39E-02,7.16E-02,4.94E-05,3.21E-02,1.04E-02,3.21E-02,2.17E-02,2.79E-02,1.97E-04,9.68E-02,1.87E-01,1.89E-01,1.71E-01,2.27E-01,1.31E-01
25-hydroxy-cholesterol,4.05E-02,3.37E-02,7.67E-05,7.70E-05,2.98E-02,3.06E-02,4.76E-02,1.93E-02,3.39E-02,2.55E-02,3.29E-02,3.99E-02,1.39E-02,2.12E-02,3.03E-02,1.52E-05,2.51E-02,1.63E-02,2.11E-02,1.19E-02,9.31E-06,1.06E-05,2.24E-02,1.83E-02,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.47E-02,6.44E-05,6.18E-02,3.00E-02,7.90E-02,4.63E-02
27-hydroxy-cholesterol,6.46E-02,8.65E-02,1.53E-01,7.70E-05,4.87E-02,5.94E-02,8.93E-02,6.60E-02,1.20E-01,3.97E-02,2.36E-02,6.46E-02,3.55E-02,2.61E-02,7.23E-02,2.40E-02,1.57E-05,2.85E-02,2.15E-02,2.98E-02,6.26E-02,1.06E-05,1.41E-02,2.31E-02,6.03E-05,4.95E-05,4.34E-02,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,1.54E-01,1.87E-01,2.59E-01,8.02E-02,4.99E-05,6.72E-02
4b-hydroxy-cholesterol,2.40E-02,2.49E-02,3.07E-02,9.10E-02,2.30E-02,2.12E-02,1.49E-02,1.04E-02,1.10E-02,1.37E-02,1.42E-02,2.06E-02,2.24E-02,2.53E-02,1.42E-02,1.96E-02,2.09E-02,1.91E-02,1.91E-02,1.93E-02,1.59E-02,1.44E-02,2.07E-02,2.31E-02,2.08E-02,1.08E-02,2.17E-02,1.47E-02,1.79E-02,4.94E-05,3.76E-04,2.50E-04,2.99E-04,4.24E-02,2.83E-02,1.97E-04,3.19E-02,4.92E-02,7.88E-02,3.64E-02,3.81E-02,3.23E-02
6a-hydroxy-cholestanol,0.82593448,1.11446401,1.95129981,1.9590839,1.00208274,0.66242381,0.89293918,0.89635867,0.6570199,1.04044641,0.58957513,1.29192412,0.68288716,0.71493047,0.5601219,0.46847259,0.54273428,0.69838903,0.40839414,0.45586527,0.45692436,0.48016453,0.31008412,0.46155176,2.08379922,1.53078253,1.70386272,1.8608338,1.52100253,0.04128093,1.91304029,1.49798579,1.68405915,2.98851422,1.19597912,0.06104162,2.16215309,2.57750796,2.49241962,3.20992425,1.99706964,2.18200311
7-oxo-cholesterol,6.31E-01,4.69E-01,2.79E-01,3.78E-01,5.55E-01,4.50E-01,3.79E-01,3.11E-01,1.97E-01,2.74E-01,3.26E-01,4.87E-01,3.00E-01,3.02E-01,2.29E-01,3.58E-01,4.28E-01,3.62E-01,3.44E-01,2.81E-01,2.20E-01,2.69E-01,3.10E-01,2.88E-01,2.96E-01,1.80E-01,3.33E-01,2.55E-01,2.33E-01,4.94E-05,1.71E-01,1.04E-01,1.03E-01,8.69E-01,9.30E-02,2.37E+00,3.81E-01,5.39E-01,4.29E-01,5.99E-01,5.99E-01,5.76E-01
7a-hydroxy-cholesterol,8.41E-02,1.61E-01,5.58E-02,1.39E-01,1.04E-01,8.49E-02,4.39E-02,4.10E-02,1.53E-02,5.20E-02,5.20E-02,4.99E-02,1.99E-02,3.85E-02,2.24E-02,3.58E-02,2.69E-02,3.36E-02,3.22E-02,2.81E-02,8.46E-02,2.50E-02,1.43E-02,2.31E-02,6.03E-05,2.34E-02,7.74E-02,4.60E-02,4.47E-02,4.94E-05,3.76E-04,2.50E-04,2.99E-04,3.37E-01,2.44E-04,1.97E-04,5.15E-02,9.14E-02,7.88E-02,7.28E-02,6.54E-02,6.81E-02
